filename,annotations,label
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597233797633.jpg,"[[268, 407, 373, 449]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597606297633.jpg,"[[1085, 423, 1338, 525]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597182147636.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597414547633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597424297633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597432447633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597076797633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530596885897633.jpg,[],False
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291675947243.jpg,"[[975, 412, 1025, 460], [1463, 425, 1600, 504], [1007, 430, 1037, 457]]",True
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291331897243.jpg,"[[0, 406, 142, 459]]",True
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291563297243.jpg,"[[1307, 313, 1600, 895], [982, 440, 1193, 545], [840, 431, 1157, 558], [565, 426, 704, 494], [685, 429, 798, 483], [777, 431, 879, 482]]",True
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291411797243.jpg,"[[568, 323, 817, 418], [1205, 319, 1374, 419], [422, 329, 656, 414], [272, 332, 528, 417], [1403, 288, 1600, 411], [976, 292, 1170, 411]]",True
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291602047243.jpg,[],False
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291414897243.jpg,"[[667, 358, 1076, 490], [540, 342, 726, 423], [0, 318, 235, 428]]",True
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291844797243.jpg,[],False
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291328297308.jpg,"[[1233, 432, 1284, 469]]",True
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291487297243.jpg,[],False
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291319047243.jpg,"[[1260, 437, 1375, 542]]",True
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291575697243.jpg,"[[245, 388, 358, 438], [51, 392, 206, 447]]",True
samples/CAM_BACK_LEFT/n016-2018-07-11-14-40-09+0800__CAM_BACK_LEFT__1531291340947243.jpg,[],False
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203470648166.jpg,"[[92, 362, 256, 414]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203409548166.jpg,"[[812, 439, 880, 469], [888, 434, 906, 449]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203595448166.jpg,"[[925, 446, 1083, 510], [1059, 451, 1207, 511], [120, 464, 329, 540], [1260, 467, 1600, 624], [1069, 458, 1254, 526], [237, 465, 451, 558], [1147, 465, 1399, 564], [0, 461, 160, 541]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203430548166.jpg,[],False
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203487148166.jpg,"[[1149, 469, 1277, 508], [76, 456, 141, 479]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203362448166.jpg,"[[408, 427, 476, 454]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203386948166.jpg,"[[454, 442, 759, 637]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203223798166.jpg,"[[80, 419, 139, 440]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203570148166.jpg,[],False
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203579898166.jpg,"[[623, 439, 798, 530], [18, 436, 195, 521], [780, 440, 942, 534], [954, 440, 1308, 584], [176, 443, 420, 535], [403, 443, 505, 488], [153, 445, 254, 486]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203422898166.jpg,"[[417, 441, 604, 520], [561, 437, 745, 532], [963, 439, 1230, 566], [0, 439, 161, 526], [118, 439, 368, 529], [116, 444, 237, 489], [717, 439, 889, 531]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203443948166.jpg,"[[153, 416, 516, 597], [499, 453, 665, 519], [0, 464, 80, 577], [603, 452, 745, 510], [15, 445, 97, 484], [48, 459, 145, 499], [120, 450, 209, 489], [148, 429, 264, 480]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203501198166.jpg,"[[462, 468, 547, 499]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203541648166.jpg,"[[549, 443, 871, 662]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203313948166.jpg,"[[379, 441, 545, 494], [712, 452, 864, 504], [640, 461, 747, 498]]",True
samples/CAM_BACK_LEFT/n005-2018-07-10-14-13-19+0800__CAM_BACK_LEFT__1531203343148166.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189827897155.jpg,"[[353, 343, 399, 366]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189505047157.jpg,"[[43, 408, 182, 454], [212, 392, 328, 443]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189946697155.jpg,"[[858, 454, 891, 472]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189763197155.jpg,"[[100, 343, 368, 465], [0, 358, 162, 471], [1420, 381, 1600, 535]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189741047155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189890297155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189419147155.jpg,"[[455, 405, 706, 514], [237, 404, 534, 516]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189705147155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189409447155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189527697155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189627697155.jpg,"[[1364, 430, 1432, 462]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189819797155.jpg,"[[1028, 418, 1206, 480], [1373, 404, 1414, 436], [818, 427, 1066, 531], [968, 425, 1162, 497], [0, 396, 257, 628], [746, 419, 1038, 546], [1330, 402, 1362, 429], [0, 429, 524, 704], [910, 416, 1144, 512], [1074, 410, 1226, 465], [1306, 400, 1334, 428], [697, 428, 1046, 577], [1362, 406, 1395, 433], [1287, 405, 1323, 429]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189794147155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189436147155.jpg,"[[0, 556, 104, 739], [1288, 415, 1600, 557]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189364897155.jpg,"[[1, 410, 206, 573], [0, 421, 478, 900], [1074, 400, 1220, 510], [1292, 404, 1430, 510], [790, 399, 1007, 531], [327, 390, 546, 493]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189651047155.jpg,"[[827, 421, 871, 447], [537, 420, 607, 454], [788, 425, 830, 447], [627, 421, 703, 456], [736, 425, 798, 458], [680, 424, 747, 457], [870, 428, 917, 448], [1029, 451, 1090, 474], [782, 432, 835, 463]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189915297155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189303947155.jpg,"[[155, 413, 446, 657], [592, 406, 950, 665]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189388297155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189775047155.jpg,"[[1211, 273, 1409, 350], [1462, 310, 1585, 352]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189807547155.jpg,"[[1220, 343, 1279, 368]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189666697155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189894147155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189922647155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189885647155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189798297155.jpg,"[[1502, 246, 1562, 269], [1326, 246, 1380, 267], [1093, 251, 1145, 275], [1262, 249, 1321, 269], [1439, 248, 1489, 268], [1152, 250, 1203, 271], [1377, 248, 1434, 269], [1212, 240, 1268, 269]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189953197155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189402947155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189865547155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189499647155.jpg,"[[893, 402, 1133, 501]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189406297155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189357147155.jpg,"[[1446, 445, 1600, 625], [494, 424, 832, 623], [1249, 448, 1413, 559], [250, 437, 598, 598], [0, 442, 486, 829], [1092, 435, 1342, 652], [967, 445, 1082, 535], [755, 427, 1066, 640]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189532147155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189598897155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189823697155.jpg,"[[888, 320, 918, 340], [860, 318, 893, 343], [135, 336, 254, 386], [797, 319, 844, 348], [836, 322, 868, 345], [207, 337, 298, 376]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189684897155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189870397155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189560397155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189352647155.jpg,"[[1502, 421, 1600, 542], [1179, 429, 1305, 528], [408, 441, 757, 595], [1483, 450, 1600, 900], [294, 434, 455, 497], [684, 464, 1353, 900], [0, 428, 317, 549], [277, 412, 337, 445], [612, 436, 751, 507], [749, 433, 896, 517], [230, 427, 395, 493], [861, 376, 1190, 589], [1337, 455, 1475, 539], [358, 435, 536, 501]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189691647155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189695447155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189312797155.jpg,"[[1, 380, 123, 443]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189413297155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189619148709.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189671397160.jpg,"[[310, 412, 469, 470]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189267447155.jpg,"[[1045, 437, 1316, 655]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189858947155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189803547155.jpg,"[[453, 301, 489, 321], [408, 303, 450, 325]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189927947155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189282297155.jpg,"[[383, 420, 710, 646], [0, 419, 204, 602]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189342897155.jpg,"[[812, 458, 1026, 546], [1053, 444, 1245, 515], [532, 462, 792, 574], [1236, 428, 1600, 617], [1015, 455, 1187, 517], [1278, 420, 1600, 588], [963, 453, 1127, 527], [1157, 438, 1282, 494], [162, 458, 438, 603], [372, 462, 631, 583], [671, 459, 928, 555], [896, 450, 1074, 530]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189612947155.jpg,"[[0, 423, 103, 548]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189326147155.jpg,"[[119, 440, 277, 513], [1, 446, 136, 524], [0, 475, 791, 900], [334, 425, 1184, 900]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189566947155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189699147155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189551647155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189539697155.jpg,"[[333, 403, 365, 421]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189902447155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189854697155.jpg,"[[1531, 397, 1568, 410], [1422, 401, 1447, 412], [1465, 399, 1496, 411], [329, 405, 366, 423]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189591397155.jpg,"[[767, 434, 859, 468], [423, 434, 484, 459], [385, 436, 454, 494]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189779297155.jpg,"[[589, 362, 627, 380], [216, 353, 378, 412], [455, 370, 570, 406]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189959647155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189918397155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189749647157.jpg,"[[624, 383, 666, 415]]",True
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189574647155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189907897155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189758797155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-08-02-13-54-05+0800__CAM_BACK_LEFT__1533189730697155.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531189793897633.jpg,"[[225, 405, 276, 444]]",True
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531189515147633.jpg,"[[0, 469, 473, 850], [809, 438, 1099, 666], [1150, 459, 1439, 684], [673, 454, 826, 538], [1450, 458, 1600, 684], [1391, 461, 1530, 566], [489, 453, 852, 616], [0, 519, 924, 900], [277, 450, 633, 591], [1043, 442, 1176, 553], [533, 441, 704, 524]]",True
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531189656797633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531190132147633.jpg,"[[1, 487, 804, 900], [1427, 480, 1599, 534], [0, 458, 121, 704]]",True
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531190145947633.jpg,"[[456, 449, 503, 482], [189, 442, 284, 479], [0, 475, 192, 628], [674, 456, 817, 528], [556, 452, 633, 503], [601, 450, 705, 512], [25, 459, 263, 539], [174, 446, 282, 485], [0, 456, 236, 576], [0, 527, 126, 652], [528, 448, 599, 496]]",True
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531190223947633.jpg,"[[420, 431, 733, 623], [0, 388, 535, 748], [15, 382, 210, 485]]",True
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531189690547633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531189957297633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531190044647633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531190026897633.jpg,"[[434, 359, 608, 454], [1112, 318, 1600, 519], [0, 316, 272, 473]]",True
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531190022447633.jpg,"[[1101, 271, 1314, 431]]",True
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531189608647633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-10-10-24-36+0800__CAM_BACK_LEFT__1531189939647633.jpg,"[[1417, 554, 1600, 730]]",True
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535957792948995.jpg,"[[1435, 456, 1539, 508]]",True
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535957728697155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535957957947155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535957770197155.jpg,"[[958, 389, 1012, 419], [651, 400, 744, 456], [794, 383, 871, 440]]",True
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535957787547155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535958020147155.jpg,"[[122, 271, 187, 303], [316, 280, 423, 327], [349, 439, 442, 477], [715, 263, 864, 319]]",True
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535957976397155.jpg,"[[1468, 417, 1533, 450]]",True
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535958099547155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535958010647155.jpg,"[[1060, 464, 1146, 496], [1251, 465, 1311, 491], [926, 457, 1019, 493], [1163, 461, 1243, 495], [522, 456, 632, 496], [338, 447, 476, 498], [1, 448, 57, 502], [1340, 465, 1401, 496], [813, 457, 890, 494], [1259, 468, 1334, 496], [111, 446, 278, 500]]",True
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535958016797155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535957940447155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535957721047155.jpg,"[[1129, 450, 1192, 495]]",True
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535957911297155.jpg,[],False
samples/CAM_BACK_LEFT/n013-2018-09-03-14-54-42+0800__CAM_BACK_LEFT__1535957832397155.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-15-04-38+0800__CAM_BACK_LEFT__1530602008697633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-15-04-38+0800__CAM_BACK_LEFT__1530601797397633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-15-04-38+0800__CAM_BACK_LEFT__1530601753647633.jpg,"[[198, 393, 347, 443], [520, 374, 672, 428], [17, 388, 246, 463], [302, 355, 585, 445], [374, 363, 609, 438], [1380, 402, 1497, 468], [447, 368, 636, 436], [906, 378, 1023, 428], [491, 372, 661, 431], [875, 392, 980, 427]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-15-04-38+0800__CAM_BACK_LEFT__1530601554647633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-15-04-38+0800__CAM_BACK_LEFT__1530602014897633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-15-04-38+0800__CAM_BACK_LEFT__1530601592297633.jpg,"[[858, 393, 976, 453], [360, 409, 527, 488], [693, 422, 789, 483]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-15-04-38+0800__CAM_BACK_LEFT__1530602069647633.jpg,"[[527, 438, 657, 503], [313, 441, 500, 519], [1087, 422, 1253, 481], [453, 451, 555, 505], [1090, 423, 1198, 469], [1509, 405, 1600, 489], [266, 438, 436, 520], [0, 417, 271, 553], [0, 434, 105, 551], [680, 449, 770, 493]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-15-04-38+0800__CAM_BACK_LEFT__1530601656447633.jpg,"[[908, 417, 1005, 485]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-15-04-38+0800__CAM_BACK_LEFT__1530601880547633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-15-04-38+0800__CAM_BACK_LEFT__1530601710647633.jpg,"[[1015, 447, 1036, 464], [1369, 445, 1434, 470], [1335, 434, 1417, 470]]",True
